Tech stacks,Portfolio link
"React, AWS, Lambda",https://portfolio1.example.com
"Angular, S3, DynamoDB",https://portfolio2.example.com
"Vue.js, Step Functions",https://portfolio3.example.com
"React, Jest, CI/CD",https://portfolio4.example.com
"Angular, Elasticsearch",https://portfolio5.example.com
"Vue.js, AWS",https://portfolio6.example.com
"React, Mocha, DevOps",https://portfolio7.example.com
"Angular, Lambda, Microservices",https://portfolio8.example.com
"Vue.js, REST API",https://portfolio9.example.com
"React, DynamoDB, Infrastructure as Code",https://portfolio10.example.com
"Angular, Domain-Driven Design",https://portfolio11.example.com
"Vue.js, Lambda, Step Functions",https://portfolio12.example.com
"React, AI Integration",https://portfolio13.example.com
"Angular, ML, Jest",https://portfolio14.example.com
"Vue.js, Microservices",https://portfolio15.example.com
"React, Cloud Architecture",https://portfolio16.example.com
"Angular, REST, S3",https://portfolio17.example.com
"Vue.js, CI/CD, AWS",https://portfolio18.example.com
"React, Testing Frameworks",https://portfolio19.example.com
"Angular, Infrastructure Automation",https://portfolio20.example.com
